Name,OperationalStatus_Confirmed,PreliminaryOrganizationType,NameAlphabetized_Confirmed
Mayor's Office - Speechwriting,Active,Mayoral Office,Mayor's Office - Speechwriting
Mayor's Office for Economic Opportunity,Active,Mayoral Office,"Economic Opportunity, Mayor's Office for"
Mayor's Office for International Affairs,Active,Mayoral Office,"International Affairs, Mayor's Office for"
Mayor's Office for Nonprofit Services,Active,Mayoral Office,NYC Nonprofits
Mayor's Office for People with Disabilities,Active,Mayoral Office,"People with Disabilities, Mayor's Office for"
Mayor's Office of Administrative Services,Active,Mayoral Office,"Administrative Services, Office of"
Mayor's Office of Animal Welfare,Active,Mayoral Office,"Animal Welfare, Office of"
Mayor's Office of Appointments,Active,Mayoral Office,"Appointments, Mayor's Office of"
Mayor's Office of Citywide Events Coordination & Management,Active,Mayoral Office,"Citywide Event Coordination and Management, Mayor's Office of"
Mayor's Office of Climate and Environmental Justice,Active,Mayoral Office,"Climate and Environmental Justice, Mayor's Office of"
Mayor's Office of Contract Services,Active,Mayoral Office,"Contract Services, Mayor's Office of"
Mayor's Office of Correspondence,Active,Mayoral Office,"Correspondence, Office of"
Mayor's Office of Criminal Justice,Active,Mayoral Office,"Criminal Justice, Mayor's Office of"
Mayor's Office of Equity and Racial Justice,Active,Mayoral Office,"Equity and Racial Justice, Mayor's Office of"
Mayor's Office of Ethnic and Community Media,Active,Mayoral Office,"Ethnic and Community Media, Mayor's Office of"
Mayor's Office of Food Policy,Active,Mayoral Office,"Food Policy, Office of"
Mayor's Office of Immigrant Affairs,Active,Mayoral Office,"Immigrant Affairs, Mayor's Office of"
Mayor's Office of Media and Entertainment,Active,Mayoral Office,"Media and Entertainment, Mayor's Office of"
Mayor's Office of Minority and Women-Owned Business Enterprises,Active,Mayoral Office,"Minority and Women-Owned Business Enterprises, Mayor's Office of"
Mayor's Office of Nightlife,Active,Division,"Nightlife, Office of"
Mayor's Office of Nonprofit Services,Active,Mayoral Office,Mayor's Office of Nonprofit Services
Mayor's Office of Operations,Active,Mayoral Office,"Operations, Mayor's Office of"
Mayor's Office of Pensions and Investments,Active,Mayoral Office,"Pensions and Investments, Mayor's Office of"
Mayor's Office of Policy and Planning,Active,Mayoral Office,"Policy and Planning, Mayor's Office of"
Mayor's Office of Special Enforcement,Active,Mayoral Office,"Special Enforcement, Mayor's Office of"
Mayor's Office of Special Projects and Community Events,Active,Mayoral Office,"Special Projects and Community Events, Mayor's Office of"
Mayor's Office of Sports and Recreation,Active,Mayoral Office,"Sports, Wellness, and Recreation, Mayor's Office of"
Mayor's Office of Strategic Partnerships,Active,Mayoral Office,"Strategic Partnerships, Mayor's Office of"
Mayor's Office of Talent and Workforce Development,Active,Mayoral Office,"Talent and Workforce Development, Mayor's Office of"
Mayor's Office of Urban Agriculture,Active,Division,"Urban Agriculture, Mayor's Office of"
Mayor's Office of Youth Employment,Active,Mayoral Office,"Youth Employment, Mayor's Office of"
Mayor's Office Risk Management & Compliance,Active,Mayoral Office,"Risk Management and Compliance, Mayor's Office of"
Mayor's Office to End Domestic and Gender-Based Violence,Active,Mayoral Office,"End Domestic and Gender-Based Violence, Mayor's Office to"
Mayor's Office to Prevent Gun Violence,Active,Division,"Prevent Gun Violence, Office to"
Mayor's Press Office,Active,Mayoral Office,"Press Office, Mayor's"
Mayor's Public Engagement Unit,Active,Mayoral Office,"Public Engagement Unit, Mayor's"
Medical Equity Advisory Board,Ask Ops,"Advisory, Oversight, or Regulatory Body",Medical Equity Advisory Board
Metropolitan Transportation Authority Board of Directors,Active,Authority or Public Benefit Corporation,Metropolitan Transportation Authority
Metropolitan Transportation Authority Capital Review Board ,Active,"Advisory, Oversight, or Regulatory Body",Metropolitan Transportation Authority Capital Review Board 
Metropolitan Transportation Sustainability Advisory Workgroup,Dissolved,"Advisory, Oversight, or Regulatory Body",Metropolitan Transportation Sustainability Advisory Workgroup
MO of Utility Advocate,Ask Ops,Mayoral Office,"Utility Advocate, MO of"
Moynihan Station Development Corporation,Dissolved,Authority or Public Benefit Corporation,Moynihan Station Development Corporation
Multiple Dwellings Construction Task Force,Active,"Advisory, Oversight, or Regulatory Body",Multiple Dwellings Construction Task Force
Municipal Archives,Active,Division,"Archives, Municipal"
Municipal Division of Transitional Services,Active,Mayoral Office,"Division of Transitional Services, Municipal"
Municipal Records Management Division,Active,Division,"Records Management Division, Municipal"
Municipal Reference and Research Center,Active,Division,"Reference and Research Center, Municipal"
Municipal Services Assessment unit,Active,Mayoral Office,"Municipal Services Assessment, Mayor's Office of"
Municipal Voting Advisory Group,Dissolved,"Advisory, Oversight, or Regulatory Body",Municipal Voting Advisory Group
